pk,sk,exchange,attack
2,1,864.4604,1.1384
2,1,137.4975,1.036
2,1,152.3629,0.9831
3,1,198.1739,0.9985
3,1,203.6064,0.9964
3,1,233.1027,1.652
3,2,223.3102,1.2505
3,2,220.2429,1.4206
3,2,201.8945,0.9683
4,1,276.3319,0.9684
4,1,287.165,0.8892
4,1,259.3021,0.9204
4,2,259.0309,1.1869
4,2,277.1524,1.0673
4,2,281.7157,1.0772
4,3,254.2019,2.4023
4,3,250.6836,1.2086
4,3,296.5538,1.2825
5,1,343.1237,0.9957
5,1,344.1738,0.9427
5,1,337.3811,1.0089
5,2,350.1983,1.0672
5,2,317.2889,1.3403
5,2,336.6119,1.2083
5,3,334.5439,4.2924
5,3,331.2569,3.4816
5,3,335.4607,2.7072
5,4,356.5101,15.731
5,4,325.4277,15.7283
5,4,389.6173,19.29
